2009-2010 Award Year FFEL Volume by School,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
"Award Year Cumulative Activity through Quarter ending 09/30/2009

",,,,,,,,,,,,,,,,,,,,,,,,
Data Run: 4/5/2012,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FFEL SUBSIDIZED,,,,,FFEL UNSUBSIDIZED,,,,,FFEL PARENT PLUS,,,,,FFEL GRAD PLUS,,,,
OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00106100,ALASKA PACIFIC UNIVERSITY,AK,995084672,PRIVATE,291,291,1546994,292,830513,267,271,1674604,271,896614,31,33,386770,35,192181,5,5,69730,5,34865
00106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,997757500,PUBLIC,1413,1434,6394735,1455,3290699,1472,1521,8806921,1542,4472224,36,40,265784,40,138160,4,4,68620,4,28988
00106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,998018680,PUBLIC,406,409,1866473,439,1044946,437,448,2925528,478,1558767,8,8,88046,8,44024,0,0,0,0,0
01146200,UNIVERSITY OF ALASKA ANCHORAGE,AK,995088050,PUBLIC,2998,3042,12780036,3045,6440086,3343,3432,20274742,3435,10219443,123,125,1288224,125,645683,9,11,43878,11,24063
02541000,ALASKA CAREER COLLEGE,AK,995071033,PROPRIETARY,38,38,103869,38,52178,37,37,134553,37,67331,0,0,0,0,0,0,0,0,0,0
02576900,CHARTER COLLEGE,AK,995084103,PROPRIETARY,192,192,516838,193,255514,206,322,653151,328,298655,4,4,20866,5,12783,0,0,0,0,0
03160300,AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY,AK,996640889,PUBLIC,28,28,91694,28,43507,42,42,197864,42,94351,2,2,17276,2,8638,0,0,0,0,0
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,PUBLIC,2675,2692,12343721,2701,6178188,2801,2968,14208634,3035,7100249,231,236,1744374,239,927673,2,2,9524,2,6262
00100300,FAULKNER UNIVERSITY,AL,361093398,PRIVATE,1392,1403,6244282,1426,3470561,1228,1254,7295546,1278,3788949,78,78,611850,79,347361,188,203,4204847,208,2143612
00100400,UNIVERSITY OF MONTEVALLO,AL,351156000,PUBLIC,1172,1201,5291490,1201,2700158,1275,1351,6345947,1351,3224176,56,57,323056,57,178279,0,0,0,0,0
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350110000,PUBLIC,481,487,1656341,616,973931,416,419,1590900,487,747118,0,0,0,0,0,0,0,0,0,0
00101200,BIRMINGHAM SOUTHERN COLLEGE,AL,352540002,PRIVATE,441,447,1798128,448,934808,483,524,1902764,524,978463,127,132,1732080,132,896559,0,0,0,0,0
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,PUBLIC,303,304,934811,305,418035,139,139,433285,140,199909,1,1,9000,1,3000,0,0,0,0,0
00101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,PUBLIC,2128,2167,8846539,2169,4482258,2150,2281,9693630,2281,4917855,89,94,557312,94,283008,0,0,0,0,0
00101900,HUNTINGDON COLLEGE,AL,361062148,PRIVATE,343,343,1410184,345,683031,406,406,1848107,415,884845,102,102,998307,103,499731,0,0,0,0,0
00102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,PUBLIC,3972,3992,18277528,3993,9655986,3857,4101,20412159,4104,10778342,175,177,1187184,177,612842,1,1,17790,1,8895
00102300,JUDSON COLLEGE,AL,367562504,PRIVATE,129,132,473003,132,255485,141,166,514440,167,285521,21,21,158917,21,84710,0,0,0,0,0
00102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,PUBLIC,2839,2852,17872533,2853,6158482,3070,3199,21910289,3200,7311392,43,43,253207,43,126908,0,0,0,0,0
